state_fips,state_name,mask_policy_start,mask_policy_end,conditions,student_assignment,validation,source,notes/discrepancies
01,ALABAMA  ,7/16/2020,10/2/2020,all public places,Shuang Li,changes made,https://www.cullmantimes.com/news/alabama-extends-mask-order-until-oct-2/article_26147824-e886-11ea-b3ce-9384da3aab18.html,People must wear masks or face coverings when in public and in close contact with other people including at indoor spaces open to the public and outdoor spaces where 10 or more people are gathered. Alabama extends mask order until Oct. 2
02,ALASKA  ,,,,Shuang Li,correct,http://dhss.alaska.gov/dph/Epi/id/Pages/COVID-19/coveryourface.aspx,"No. The state does not require the use of masks by the public, however health and science experts recommended that you wear a mask in public where social distancing is challenging to reduce the likelihood that you unknowingly spread COVID-19. However recent mandate for Mask usage in public buildings, and mask usage by state employees. https://covid19.alaska.gov/health-mandates/"
04,ARIZONA  ,,,,Dechang Zhao,changes made,https://www.fox10phoenix.com/news/list-arizona-cities-with-face-mask-requirements,"There is no statewide order requiring masks in Arizona, but cities like Flagstaff, Phoenix, Scottsdale, Sedona, and Tucson have mandates in place, as well as several counties"
05,ARKANSAS  ,7/20/2020,,all public places,Dechang Zhao,changes made,https://www.wmcactionnews5.com/2020/07/19/arkansas-mask-mandate-take-effect-monday/,disagreement:(Kun Wang)7/20/2020:  https://abcnews.go.com/Health/wireStory/arkansas-require-face-masks-combat-coronavirus-surge-71824957
06,CALIFORNIA  ,6/18/2020,,all public places,Rose Wang,correct,https://www.cdph.ca.gov/Programs/CID/DCDC/CDPH%20Document%20Library/COVID-19/Guidance-for-Face-Coverings_06-18-2020.pdf,Exceptions: Children under 2; people with a medical/mental condition or disability; hearing impaired or communicate with people with such problem; special working circumstances; outdoor work; while eating or drinking in a restaurant; recreation alone or with family; people who are incarcerated will have specific guidance (Qiwen Zhang)
08,COLORADO  ,7/17/2020,,all public places,Rose Wang,correct,https://www.colorado.gov/governor/sites/default/files/inline-files/D%202020%20138%20Mask%20Order.pdf,
09,CONNECTICUT  ,4/20/2020,,all public places,Alexandra Garney,correct,https://portal.ct.gov/-/media/Office-of-the-Governor/Executive-Orders/Lamont-Executive-Orders/Executive-Order-No-7BB.pdf?la=en,
10,DELAWARE  ,4/28/2020,,all public places,Alexandra Garney,correct,https://governor.delaware.gov/health-soe/thirteenth-state-of-emergency/,
11,DISTRICT OF COLUMBIA,7/22/2020,,all public places,Chuqi Tan,changes made,https://coronavirus.dc.gov/sites/default/files/dc/sites/coronavirus/page_content/attachments/Mayors-Order-2020-066-Extensions-of-Public-Emergency-and-Public-Health.pdf,
12,FLORIDA  ,6/20/2020,,all public places,Chuqi Tan,correct,https://floridahealthcovid19.gov/wp-content/uploads/2020/06/20200622-SOF-DOH-Public-Health-Advisory.pdf,"Does ""should"" mean the requirement? "
13,GEORGIA  ,,,all public places,Khin Thazin,changes made,https://www.nga.org/coronavirus-state-actions-all/#GA,"The Governor withdrew his emergency request for a court to stop enforcement of Atlanta’s requirement that faces masks be worn in all public places, while mediation over the state’s legal effort to block the mandate proceeds - July 28, 2020."
15,HAWAII  ,4/17/2020,,retail only,Khin Thazin,correct,https://www.hawaiinewsnow.com/2020/04/17/governors-emergency-order-requires-everyone-wear-face-masks-essential-businesses/,The governor is now mandating that everyone wear a face mask or covering while in essential businesses — or while waiting to get inside.
16,IDAHO  ,,,,Zoe Guo,correct,https://www.littler.com/publication-press/publication/facing-your-face-mask-duties-list-statewide-orders,"Governor Brad Little on Thursday announced Idaho will stay in Stage 4 for another two weeks. He took time to encourage Idahoans to wear masks, but said he “doubts” he will issue a statewide mandate."
